group,year,arxiv,journal,table,parameter,ordering,convention,kind,value_as_published,value_our_convention,unit,level
nufit,2001,hep-ph/0009350,"Phys. Rev. D 63, 033005 (2001)","Table V/VI, ""Solar + ALL-ATM. + CHOOZ"" (global combined analysis)",dm2,any,"tan2(theta), not sin2(theta), for every mixing angle; Dm2_32 = m3^2-m2^2 reported without a normal/inverted split",measurement,3.3,3.3,1e-5 eV²,
nufit,2004,hep-ph/0405172,"New J. Phys. 6, 122 (2004)",Table 1,dm2,any,Dm2_3l = Dm2_31 > 0; no inverted-ordering fit performed,measurement,8.1,8.1,1e-5 eV²,
nufit,2004,hep-ph/0405172,"New J. Phys. 6, 122 (2004)",Table 1,sin2_th12,any,Dm2_3l = Dm2_31 > 0; no inverted-ordering fit performed,measurement,3.0,3.0,1e-1,
nufit,2004,hep-ph/0405172,"New J. Phys. 6, 122 (2004)",Table 1,sin2_th13,any,Dm2_3l = Dm2_31 > 0; no inverted-ordering fit performed,limit,4.7,4.7,1e-2,3sigma
nufit,2004,hep-ph/0405172,"New J. Phys. 6, 122 (2004)",Table 1,sin2_th23,any,Dm2_3l = Dm2_31 > 0; no inverted-ordering fit performed,measurement,5.0,5.0,1e-1,
nufit,2004,hep-ph/0405172,"New J. Phys. 6, 122 (2004)",Table 1,Dm2,no,Dm2_3l = Dm2_31 > 0; no inverted-ordering fit performed,measurement,2.2,2.1595,1e-3 eV²,
bari,2006,hep-ph/0506083,"Prog. Part. Nucl. Phys. 57, 742 (2006)","Eq. (53)-(57), global oscillation analysis",sin2_th13,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,0.9,0.9,1e-2,
bari,2006,hep-ph/0506083,"Prog. Part. Nucl. Phys. 57, 742 (2006)","Eq. (53)-(57), global oscillation analysis",dm2,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,7.92,7.92,1e-5 eV²,
bari,2006,hep-ph/0506083,"Prog. Part. Nucl. Phys. 57, 742 (2006)","Eq. (53)-(57), global oscillation analysis",sin2_th12,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,3.14,3.14,1e-1,
bari,2006,hep-ph/0506083,"Prog. Part. Nucl. Phys. 57, 742 (2006)","Eq. (53)-(57), global oscillation analysis",Dm2,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,2.4,2.4,1e-3 eV²,
bari,2006,hep-ph/0506083,"Prog. Part. Nucl. Phys. 57, 742 (2006)","Eq. (53)-(57), global oscillation analysis",sin2_th23,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,4.4,4.4,1e-1,
